formula,frac_N,frac_O,frac_Ti,frac_V,frac_Zr,frac_Nb,frac_Hf,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,YM(GPa),H(GPa)
Hf20.06 Zr6.49 Ti6.85 Nb2.26 V16.82 N45.32 O2.19,0.453245325,0.02190219,0.068506851,0.168216822,0.064906491,0.02260226,0.200620062,74.52355236,0.475147676,2138.010571,11.0930093,0.664648465,12.49674567,14.06179444,2295.472079,1232.99758,61.11049105,1.685264326,1062.474499,60.90109011,52.38893889,555.0448045,20.4150415,614.1038104,4623.60086,1.26830283,1.869976998,0.475151236,675.3211972,12.56550942,0.383347454,1232.99758,1.211598802,2.13389326,3.345492062,-3094.33163,0.022942035,4.687868787,318.6443322,28.81
Hf21.46 Zr5.91 Ti6.48 Nb2.41 V15.74 N46.15 O1.85,0.4615,0.0185,0.0648,0.1574,0.0591,0.0241,0.2146,74.7261,0.48000016,2100.24015,10.444,0.66811,12.542719,13.91391228,2291.29584,1229.319775,61.6214,1.6423248,1061.976065,60.5541,51.4321,566.6966,20.0331,625.0585,4701.9107,1.266354,1.86888,0.480003658,542.0394417,12.35733435,0.385694701,1229.319775,1.219017454,2.110666539,3.329683993,-3165.160864,0.028025849,4.68,306.7200897,29.2
Hf23.34 Zr5.77 Ti6.34 Nb2.53 V14.55 N45.28 O2.2,0.452754725,0.0219978,0.063393661,0.145485451,0.057694231,0.02529747,0.233376662,74.42315768,0.474752687,2093.623718,9.729127087,0.664952505,12.61655534,13.97768282,2333.063602,1247.576782,61.06375362,1.58479872,1085.486819,60.75542446,51.23337666,590.089991,19.96840316,649.5649435,4873.79592,1.278817118,1.874358564,0.474756182,676.1611363,12.43199708,0.385661333,1247.576782,1.218911994,2.132251731,3.351163725,-3053.437988,0.022938128,4.667533247,332.2373867,28.32
Hf25.2 Zr5.48 Ti6.09 Nb2.57 V13.87 N45.21 O1.57,0.452145215,0.01570157,0.060906091,0.138713871,0.054805481,0.02570257,0.252025203,74.04610461,0.46784695,2096.808991,9.322832283,0.660825083,12.63071607,14.09720477,2378.110907,1269.282593,60.02034203,1.54470347,1108.828314,61.50875088,51.37183718,614.1724172,20.01330133,673.640164,5054.078308,1.293136314,1.880605061,0.467850461,430.4410661,12.21532493,0.38401545,1269.282593,1.213710054,2.093713129,3.307423183,-3234.156414,0.036020493,4.647964796,305.6208708,27.2
Hf26.05 Zr5 Ti5.28 Nb2.75 V12.1 N46.92 O1.9,0.4692,0.019,0.0528,0.121,0.05,0.0275,0.2605,74.9983,0.48820016,2002.71462,8.26,0.674251,12.751265,13.55172446,2313.524612,1232.09006,62.66224,1.480939,1081.434552,59.0362,48.7075,609.871,19.0084,667.6222,5006.2478,1.271,1.870383,0.488203493,556.4911644,11.97470789,0.392193807,1232.09006,1.239558375,2.10552311,3.345081485,-3035.921203,0.026512404,4.6557,348.2652789,31.46
Hf28.89 Zr4.91 Ti5.61 Nb3.01 V12.03 N44.07 O1.47,0.440744074,0.01470147,0.056105611,0.120312031,0.04910491,0.03010301,0.288928893,73.36553655,0.455445715,2093.633133,8.218721872,0.653555356,12.71852285,14.37611162,2467.659558,1311.471042,58.43930393,1.472962496,1156.188516,62.82578258,51.40004,661.4361436,20.0110011,723.0264026,5411.778378,1.320085009,1.892368237,0.455449242,389.5169362,12.07012881,0.381790629,1311.471042,1.20667834,2.085919146,3.292597486,-3231.521707,0.040639117,4.620562056,285.6490175,27.06
Hf30.08 Zr4.34 Ti5.32 Nb2.9 V10.7 N44.81 O1.86,0.448055194,0.01859814,0.053194681,0.106989301,0.04339566,0.0289971,0.300769923,73.8760124,0.466653503,2034.6042,7.419358064,0.66089991,12.81046695,13.98067074,2434.643872,1291.894996,59.95318468,1.398866513,1142.748876,61.4939506,49.78752125,666.6012399,19.39276072,726.0722928,5428.221678,1.308823118,1.887166283,0.466656924,539.5891637,11.88280992,0.386915292,1291.894996,1.222875226,2.103758149,3.326633375,-3025.253811,0.028450057,4.621237876,319.6223289,31.74
Hf32.35 Zr4.01 Ti5.03 Nb3.12 V9.93 N44.08 O1.48,0.4408,0.0148,0.0503,0.0993,0.0401,0.0312,0.3235,73.2958,0.455600172,2047.49088,6.958,0.654246,12.834666,14.24427925,2501.591848,1324.83148,58.46144,1.366409,1176.760368,62.8057,50.2366,697.809,19.5498,758.3613,5668.1408,1.329545,1.896264,0.455603632,390.7206035,11.68527972,0.383806157,1324.83148,1.213048569,2.07848754,3.291536109,-3114.863311,0.03962173,4.6009,318.5497602,29.82
Hf17.7 Zr6.2 Ti7 Nb1.81 V19.95 N44.86 O2.48,0.4486,0.0248,0.07,0.1995,0.062,0.0181,0.177,74.5551,0.473400158,2188.40496,12.97,0.663425,12.353355,14.21114652,2264.444356,1226.29477,60.974,1.806601,1038.149586,62.7024,54.0519,530.401,20.9737,585.0574,4449.5774,1.259183,1.866119,0.473403808,790.9054862,12.55923909,0.380090867,1226.29477,1.201306111,2.149660884,3.350966995,-2976.866241,0.019473034,4.7158,306.0231985,29.15
Hf19.27 Zr5.95 Ti6.55 Nb1.99 V18.56 N45.78 O1.89,0.457845785,0.01890189,0.065506551,0.185618562,0.059505951,0.01990199,0.192719272,74.66446645,0.476747832,2151.823012,12.13711371,0.665887589,12.40866387,14.08353569,2271.557844,1226.570167,61.22562256,1.750350635,1044.987677,62.02340234,53.00290029,544.8973897,20.58465847,599.7769777,4552.940994,1.261010101,1.866689669,0.476751419,561.145448,12.36366785,0.382247594,1226.570167,1.20812261,2.113649864,3.321772474,-3147.954907,0.027024912,4.701170117,332.7036375,28.57
Hf20.64 Zr5.76 Ti6.16 Nb2.05 V17.28 N46.3 O1.8,0.463046305,0.0180018,0.061606161,0.172817282,0.057605761,0.02050205,0.206420642,74.82718272,0.481048262,2114.859286,11.3690369,0.668866887,12.47945095,13.90482821,2271.806561,1223.275078,61.73847385,1.690109211,1048.531483,61.15771577,51.91869187,556.5686569,20.18681868,611.1493149,4632.286029,1.260508051,1.866278628,0.481051782,524.3229669,12.25319192,0.384897068,1223.275078,1.216496476,2.106221539,3.322718015,-3151.634609,0.028587388,4.692369237,320.9495499,30.24
Hf22.6 Zr5.36 Ti6.21 Nb2.18 V16.66 N45.02 O1.96,0.450245025,0.01960196,0.062106211,0.166616662,0.053605361,0.02180218,0.226022602,74.25232523,0.469847146,2133.217042,10.9969997,0.661944194,12.50907691,14.15236487,2333.294521,1254.175308,60.38153815,1.657719772,1079.119214,62.58265827,52.56525653,584.7014701,20.41164116,640.3324332,4842.640364,1.279489949,1.874714471,0.469850717,585.9705258,12.33798293,0.382444794,1254.175308,1.208745876,2.118422752,3.327168628,-3115.424352,0.026407461,4.677867787,329.8947425,28.35
Hf24.07 Zr5.07 Ti5.78 Nb2.3 V15.43 N45.19 O2.15,0.451945195,0.02150215,0.057805781,0.154315432,0.050705071,0.0230023,0.240724072,74.38723872,0.473447506,2097.89688,10.25892589,0.664550455,12.58690469,14.01274532,2337.145599,1253.156311,60.88626863,1.604387039,1083.989288,61.96329633,51.5709571,597.8913891,20.03880388,653.2792279,4935.179218,1.279730973,1.874633463,0.473451015,657.9090481,12.26739325,0.385006962,1253.156311,1.216843805,2.127333373,3.344177178,-3022.308926,0.023366393,4.672267227,327.719564,29.23
Hf26.72 Zr5.15 Ti5.89 Nb2.5 V14.69 N43.06 O1.99,0.4306,0.0199,0.0589,0.1469,0.0515,0.025,0.2672,73.2149,0.45050017,2150.64841,9.814,0.650075,12.60864,14.54145134,2454.797396,1311.19265,57.96776,1.5641866,1143.604746,64.127,53.0547,640.9911,20.6119,699.6132,5269.4703,1.316917,1.891241,0.450503793,595.7550674,12.36307155,0.37850147,1311.19265,1.196282702,2.122388989,3.318671692,-3113.166397,0.027209787,4.6423,304.0756403,32.3
Hf28.35 Zr4.67 Ti5.41 Nb2.42 V13.39 N43.67 O2.1,0.436656334,0.0209979,0.054094591,0.133886611,0.04669533,0.02419758,0.283471653,73.51924808,0.457654403,2101.709449,9.03319668,0.654942506,12.69294071,14.25291285,2443.187793,1302.244911,58.89465053,1.490875912,1140.942883,63.17208279,51.69693031,653.3333667,20.09509049,710.0269973,5346.723428,1.312483752,1.889042096,0.45765794,636.1756217,12.14274033,0.382263935,1302.244911,1.208174258,2.123850322,3.33202458,-3006.646478,0.024856064,4.636736326,328.5824305,30.08
Hf29.42 Zr4.27 Ti5.18 Nb2.59 V11.95 N45.07 O1.52,0.4507,0.0152,0.0518,0.1195,0.0427,0.0259,0.2942,73.875,0.465900167,2052.48552,8.17,0.660423,12.744941,14.0034456,2424.786092,1290.017695,59.76236,1.4351996,1134.768397,62.0916,50.3414,659.5581,19.5809,716.296,5379.8582,1.306381,1.886101,0.465903618,408.1893688,11.80049746,0.385681707,1290.017695,1.218976385,2.083183224,3.302159609,-3131.959869,0.037293599,4.6265,307.7124371,28.52
Hf31.02 Zr3.96 Ti4.9 Nb2.73 V11.02 N44.63 O1.74,0.4463,0.0174,0.049,0.1102,0.0396,0.0273,0.3102,73.7345,0.463700168,2038.96818,7.612,0.659312,12.803129,14.02579042,2450.977748,1301.473335,59.5494,1.3947666,1149.504413,62.2883,50.0082,677.9261,19.4493,734.9461,5515.1873,1.313808,1.889285,0.463703602,493.1603222,11.72874268,0.386023153,1301.473335,1.220055552,2.094578198,3.31463375,-3025.462483,0.030952705,4.6186,325.6307189,28.96
Hf31.94 Zr3.58 Ti4.71 Nb2.62 V10.01 N45.36 O1.78,0.4536,0.0178,0.0471,0.1001,0.0358,0.0262,0.3194,74.0781,0.471400167,1997.03246,7.006,0.664339,12.863126,13.73588961,2429.195456,1288.16312,60.5248,1.3358512,1141.032336,61.2922,48.8464,682.591,19.0075,738.0766,5533.2039,1.306603,1.885936,0.471403526,507.1036435,11.50523008,0.389457845,1288.16312,1.23091116,2.091870163,3.322781323,-2944.465381,0.029226004,4.6155,276.9306873,30.03
Hf4.83 Zr16.89 Ti20.61 Nb3.23 V5.56 N47.86 O1.03,0.478552145,0.01029897,0.206079392,0.055594441,0.168883112,0.03229677,0.04829517,74.80931907,0.488851303,2169.111299,4.335666433,0.663574643,12.68021898,13.00893512,2164.410815,1121.326937,62.49665033,1.279438456,1043.083878,43.02449755,50.15238476,398.6012399,20.41855814,515.4318568,3288.160684,1.2429997,1.862032797,0.488854838,211.1669772,12.00237346,0.385314451,1121.326937,1.217815647,2.055750631,3.273566278,-3389.54506,0.063734325,4.587041296,360.7371311,33.47
Hf4.21 Zr16.6 Ti20.76 Nb2.85 V5.32 N48.35 O1.91,0.4835,0.0191,0.2076,0.0532,0.166,0.0285,0.0421,75.489,0.502600184,2126.11685,4.192,0.672133,12.731453,12.55469648,2099.43448,1087.744155,64.46796,1.2431938,1011.690325,41.4926,48.9581,382.9998,19.9614,496.8982,3146.6298,1.222234,1.85281,0.502603635,556.0796317,11.99167069,0.389621945,1087.744155,1.231429809,2.106350684,3.337780493,-3041.421576,0.023456838,4.6034,372.2216929,31.42
Hf3.85 Zr16.79 Ti21.15 Nb2.49 V5.31 N49.4 O1,0.494049405,0.010001,0.211521152,0.053105311,0.167916792,0.02490249,0.03850385,75.54325433,0.50405059,2126.489049,4.186318632,0.672685269,12.69684668,12.40516634,2086.431583,1080.488749,64.39113911,1.213133313,1005.942834,40.9049905,48.87438744,378.2340234,19.94959496,491.2966297,3097.510151,1.219858986,1.851821182,0.504054036,198.9722108,11.60591213,0.3892307,1080.488749,1.23019325,2.044838165,3.275031415,-3282.801429,0.063024165,4.592059206,340.7750738,30.66
Hf3.46 Zr17.99 Ti22.54 Nb2.22 V5.77 N46.99 O1.03,0.4699,0.0103,0.2254,0.0577,0.1799,0.0222,0.0346,74.3632,0.480200195,2221.31889,4.462,0.656525,12.647222,12.89221129,2174.419324,1124.236935,61.41356,1.2014578,1050.182389,42.2661,51.2752,390.1964,20.928,508.0035,3191.0139,1.249977,1.865765,0.480203815,211.3115101,11.73948091,0.381858296,1124.236935,1.206892205,2.054256249,3.261148455,-3310.532764,0.062457355,4.5704,386.9903397,32.26
Hf3.12 Zr18.05 Ti22.73 Nb1.94 V5.64 N47.37 O1.15,0.4737,0.0115,0.2273,0.0564,0.1805,0.0194,0.0312,74.6021,0.485200194,2207.20757,4.384,0.659478,12.661298,12.67824134,2148.984732,1110.448685,62.07364,1.1742286,1038.536047,41.4227,50.8158,383.2946,20.7669,499.8969,3126.2958,1.242422,1.862449,0.485203783,258.3965393,11.62266208,0.383366929,1110.448685,1.211660355,2.05936624,3.271026595,-3228.402084,0.049947921,4.5725,390.4333804,37.51
Hf5.25 Zr16.19 Ti19.82 Nb3.31 V5.97 N48.24 O1.22,0.4824,0.0122,0.1982,0.0597,0.1619,0.0331,0.0525,75.1166,0.494600184,2146.01514,4.582,0.667824,12.682951,12.94248467,2143.775404,1113.22838,63.2704,1.307914,1030.547024,43.4125,49.7071,398.744,20.1968,512.5279,3295.1219,1.235171,1.858315,0.49460368,286.7565424,12.11226374,0.387078661,1113.22838,1.223391565,2.067872177,3.291263743,-3346.92258,0.047021476,4.5996,366.8023162,30.19
Hf4.75 Zr17.01 Ti20.92 Nb2.75 V6.41 N46.85 O1.31,0.4685,0.0131,0.2092,0.0641,0.1701,0.0275,0.0475,74.4711,0.48160019,2203.88985,4.846,0.65867,12.651133,13.09174955,2184.05048,1132.877105,61.66836,1.275636,1051.173375,43.8197,51.1129,402.0786,20.7824,517.1607,3310.4181,1.250107,1.865384,0.481603788,322.6019507,12.14137172,0.382809274,1132.877105,1.209897842,2.076846296,3.286744138,-3319.809565,0.042636698,4.5863,374.332677,30.41
Hf4.33 Zr17.33 Ti21.37 Nb2.55 V6.41 N46.53 O1.48,0.4653,0.0148,0.2137,0.0641,0.1733,0.0255,0.0433,74.3931,0.480100192,2214.55008,4.846,0.657344,12.651953,13.05971208,2184.445468,1132.287405,61.52884,1.2588504,1052.158063,43.5144,51.3134,398.7671,20.8825,514.3818,3278.4913,1.250947,1.865913,0.480103806,389.385394,12.11814571,0.382278547,1132.287405,1.20822044,2.087246439,3.295466878,-3246.05832,0.035238157,4.5845,327.6077886,33.52
Hf3.83 Zr17.11 Ti21.01 Nb2.22 V6.31 N48.35 O1.18,0.483451655,0.01179882,0.210078992,0.063093691,0.171082892,0.02219778,0.03829617,75.13228677,0.495250662,2165.094591,4.785621438,0.667037296,12.66462754,12.60484196,2117.638556,1097.703545,63.34044596,1.234579942,1019.935011,41.85621438,49.89191081,383.179582,20.34226577,495.0848915,3146.70143,1.230063994,1.856461354,0.495254175,270.8105147,11.78493423,0.386493645,1097.703545,1.221542577,2.061134576,3.282677153,-3264.669755,0.047769061,4.592340766,349.1536335,30.33
Hf3.47 Zr17.98 Ti22.12 Nb1.94 V6.39 N46.61 O1.5,0.466053395,0.0149985,0.221177882,0.063893611,0.179782022,0.01939806,0.03469653,74.42275772,0.481052089,2222.382222,4.833616638,0.657192281,12.65261074,12.83955411,2168.168279,1121.862919,61.65365463,1.208088791,1046.30536,42.32766723,51.28437156,389.0889911,20.92670733,504.1632837,3186.332667,1.247648235,1.86470053,0.481055705,396.8065426,11.88850988,0.38230175,1121.862919,1.208293774,2.085547271,3.293841045,-3169.746421,0.033611539,4.579342066,348.5941698,31.13
Hf5.77 Zr16.35 Ti19.47 Nb3.21 V7.11 N46.42 O1.67,0.4642,0.0167,0.1947,0.0711,0.1635,0.0321,0.0577,74.4736,0.480900187,2197.11837,5.266,0.65929,12.653741,13.32093417,2200.094752,1144.10617,61.68296,1.3467656,1055.988582,45.2414,51.156,412.5275,20.7357,525.5552,3420.0473,1.252605,1.866142,0.480903778,464.5737462,12.49003651,0.383107533,1144.10617,1.210840515,2.103279539,3.314120054,-3282.437206,0.030759224,4.6008,337.4803536,29.35
Hf5.22 Zr16.75 Ti19.92 Nb2.82 V6.87 N46.99 O1.42,0.469946995,0.01420142,0.199219922,0.068706871,0.167516752,0.02820282,0.052205221,74.61276128,0.484148603,2191.20426,5.122412241,0.660873087,12.65661966,13.10182514,2180.05991,1131.941049,62.01870187,1.30459706,1048.118861,44.0960096,50.81258126,404.6655666,20.6449645,517.2519252,3345.418542,1.247615762,1.864043404,0.484152174,366.1363836,12.26190138,0.383877987,1131.941049,1.213275591,2.084769618,3.298045209,-3312.434031,0.037908687,4.595259526,350.9666818,33.82
Hf4.78 Zr17.05 Ti20.48 Nb2.55 V7.33 N46.27 O1.53,0.462746275,0.01530153,0.204820482,0.073307331,0.170517052,0.02550255,0.04780478,74.32173217,0.478047995,2222.074677,5.398439844,0.656578658,12.62976398,13.18947716,2195.513383,1140.392214,61.28614861,1.301868587,1055.121169,44.5019502,51.62226223,404.0406041,20.96589659,516.9675968,3336.586759,1.253516352,1.866885689,0.478051622,409.9300941,12.28396474,0.381594661,1140.392214,1.206058967,2.092994596,3.299053562,-3275.259329,0.034172992,4.592159216,371.457131,32.23
Hf4.24 Zr17.25 Ti20.99 Nb2.25 V7.24 N46.4 O1.63,0.464,0.0163,0.2099,0.0724,0.1725,0.0225,0.0424,74.4258,0.480300191,2220.51965,5.344,0.657594,12.633213,13.03231837,2178.3112,1130.82294,61.59648,1.2739972,1047.48826,43.8148,51.4956,397.0009,20.9382,509.642,3269.1801,1.248984,1.86501,0.480303811,448.8173622,12.16976683,0.382094119,1130.82294,1.207637541,2.097090561,3.304728102,-3202.112686,0.030662476,4.5915,404.2627937,35.72
Hf3.78 Zr17.04 Ti20.87 Nb1.85 V7.28 N47.6 O1.59,0.475952405,0.01589841,0.208679132,0.072792721,0.170382962,0.01849815,0.03779622,74.99340066,0.491851002,2185.287321,5.367563244,0.664875512,12.64345865,12.64725298,2123.861254,1102.994921,63.03123688,1.248282572,1020.866333,42.5660434,50.49255074,384.2370763,20.55444456,493.4191581,3156.732527,1.232146785,1.857451255,0.49185455,432.8128181,11.94012887,0.385272149,1102.994921,1.217681948,2.089532586,3.307214534,-3149.225842,0.030428631,4.599040096,364.1918803,29.24
Hf6.26 Zr15.05 Ti17.92 Nb2.95 V7.48 N48.86 O1.48,0.4886,0.0148,0.1792,0.0748,0.1505,0.0295,0.0626,75.6012,0.503400178,2113.65796,5.488,0.674552,12.672435,12.76851392,2110.229156,1100.99747,64.446,1.3516928,1009.231686,44.2349,49.0793,401.742,19.8693,506.3193,3331.1123,1.222668,1.852297,0.503403612,390.3036486,12.27843116,0.389662475,1100.99747,1.231557907,2.084227458,3.315785365,-3293.225698,0.034635909,4.6225,324.5806804,28.85
Hf5.86 Zr16.07 Ti19.23 Nb2.86 V8.22 N45.83 O1.91,0.458391678,0.019103821,0.192338468,0.082216443,0.160732146,0.028605721,0.058611722,74.34016803,0.477495686,2216.924515,5.932986597,0.657241448,12.61979396,13.38212199,2206.319372,1150.340663,61.324985,1.36855151,1055.978709,46.26035207,51.81756351,414.9933987,20.95409082,524.735047,3441.489498,1.254634927,1.867064413,0.477499315,559.4518828,12.61645147,0.381671357,1150.340663,1.206301369,2.119655022,3.325956391,-3225.483559,0.025941851,4.607421484,329.7505883,31.65
Hf5.22 Zr16.51 Ti19.41 Nb2.5 V8.19 N46.54 O1.65,0.465306939,0.016496701,0.194061188,0.081883623,0.165066987,0.024995001,0.052189562,74.53819236,0.481803826,2208.594471,5.913017397,0.659631074,12.61908418,13.16682649,2182.393565,1136.45218,61.79032194,1.340174565,1045.941386,45.084983,51.39382124,405.2646471,20.83173365,514.0465907,3359.025895,1.248141372,1.864240152,0.481807427,457.3826739,12.39236098,0.382719579,1136.45218,1.209614356,2.10089499,3.310509346,-3260.325621,0.030791122,4.605178964,310.9318511,25.58
Hf4.61 Zr16.4 Ti19.48 Nb2.19 V8.31 N47.15 O1.87,0.471452855,0.01869813,0.194780522,0.083091691,0.163983602,0.02189781,0.04609539,74.95510449,0.490151169,2186.591991,5.98550145,0.664793521,12.62758424,12.88798709,2139.747905,1114.899045,62.89793021,1.325243276,1024.84886,44.16778322,50.7660234,393.2028797,20.59224078,499.7190281,3254.947305,1.234931507,1.858373163,0.490154725,543.2023269,12.27431214,0.38496249,1114.899045,1.216703246,2.110680524,3.32738377,-3139.091314,0.025192489,4.613838616,399.8005752,32.38
Hf4.13 Zr16.34 Ti19.02 Nb1.86 V8.02 N48.85 O1.78,0.4885,0.0178,0.1902,0.0802,0.1634,0.0186,0.0413,75.7362,0.50630018,2131.7161,5.812,0.675115,12.661668,12.39619108,2071.37772,1078.393165,64.89428,1.2924704,992.984555,42.1287,49.1207,377.1647,19.9825,480.1561,3120.7621,1.213334,1.848596,0.50630362,507.6485713,11.98489582,0.389634341,1078.393165,1.231468985,2.09836985,3.329838835,-3087.820174,0.025459403,4.6229,362.8314766,34.25
Hf7.06 Zr15.21 Ti17.61 Nb3.05 V8.96 N46.85 O1.25,0.468546855,0.01250125,0.176117612,0.089608961,0.152115212,0.03050305,0.070607061,74.53885389,0.481048288,2194.735824,6.376537654,0.660606061,12.59254625,13.43467707,2203.631323,1152.213446,61.58225823,1.419364736,1051.417877,47.29582958,51.43464346,424.2128213,20.7389739,529.4820482,3533.367137,1.25220122,1.865515552,0.481051878,301.5424866,12.57197544,0.382649226,1152.213446,1.209392001,2.079317859,3.28870986,-3470.050146,0.048038336,4.613661366,348.4954865,28.82
Hf6.29 Zr15.62 Ti18.14 Nb2.8 V8.98 N46.59 O1.58,0.4659,0.0158,0.1814,0.0898,0.1562,0.028,0.0629,74.5692,0.481700184,2201.25374,6.388,0.660555,12.598346,13.33835416,2192.219984,1145.392635,61.75756,1.4015132,1046.827349,46.6389,51.4863,415.8265,20.7895,521.5467,3460.9067,1.249354,1.864434,0.48170378,431.0604358,12.56803755,0.382727602,1145.392635,1.209639712,2.099034569,3.308674281,-3339.350828,0.033395173,4.6153,304.1836938,24.98
Hf5.8 Zr16.35 Ti18.66 Nb2.46 V9.52 N45.11 O2.11,0.451054895,0.02109789,0.186581342,0.095190481,0.163483652,0.02459754,0.057994201,74.10638936,0.472152973,2245.085701,6.711428857,0.653960604,12.58862714,13.49016373,2222.943222,1160.420293,60.71270873,1.395489451,1062.522929,46.9510049,52.52314769,416.8023198,21.22517748,523.39996,3470.153885,1.259984002,1.869453055,0.472156643,637.9295022,12.72107545,0.379822322,1160.420293,1.200457353,2.13357105,3.334028403,-3178.393134,0.023140165,4.613038696,348.7586723,32.37
Hf5.2 Zr16.5 Ti18.81 Nb2.17 V9.45 N46.37 O1.51,0.463653635,0.01509849,0.188081192,0.094490551,0.164983502,0.02169783,0.051994801,74.41885811,0.478752311,2227.951775,6.669433057,0.657911209,12.57419158,13.24155457,2189.361816,1142.45212,61.36856314,1.372233777,1046.909696,45.85921408,51.94370563,406.0849915,21.02419758,511.389661,3377.706729,1.250471953,1.865222478,0.478755942,403.7778551,12.39686134,0.381259777,1142.45212,1.205000542,2.093533519,3.29853406,-3315.280546,0.035075773,4.610038996,315.6243857,28.55
Hf4.72 Zr16.45 Ti19.12 Nb1.99 V9.62 N46.3 O1.81,0.462953705,0.01809819,0.191180882,0.096190381,0.164483552,0.01989801,0.04719528,74.54184582,0.481052081,2226.644886,6.771422858,0.659166083,12.57290571,13.14342605,2172.09559,1134.258604,61.74168583,1.367384862,1037.836986,45.640036,51.92580742,399.5653435,21.01389861,504.1917808,3319.50405,1.245305469,1.863014699,0.481055708,521.2360309,12.38536215,0.381719521,1134.258604,1.206453595,2.110674573,3.317128168,-3194.372615,0.026951712,4.615238476,324.0244808,30.91
Hf7.92 Zr15.02 Ti17.03 Nb3.18 V10.08 N45.26 O1.51,0.4526,0.0151,0.1703,0.1008,0.1502,0.0318,0.0792,73.9188,0.467700185,2240.28761,7.048,0.652584,12.555634,13.87689202,2262.543356,1185.51341,59.98488,1.4760496,1077.029946,49.5969,52.8551,441.3797,21.2395,545.9597,3688.528,1.269912,1.873357,0.467703867,405.2161592,12.88833369,0.378561925,1185.51341,1.196473775,2.101964754,3.298438529,-3461.283948,0.037706523,4.6154,320.696551,30.68
Hf7.05 Zr15.22 Ti17.29 Nb2.86 V10.05 N46.09 O1.45,0.460853915,0.01449855,0.172882712,0.100489951,0.152184782,0.02859714,0.070492951,74.29057094,0.475352648,2222.316758,7.02939706,0.657120288,12.5579682,13.59673078,2221.949529,1163.932952,60.92588741,1.453530647,1058.016577,48.33876612,52.24217578,427.1726827,21.02879712,530.5179482,3567.865113,1.25789721,1.868071193,0.475356288,381.2570888,12.70322742,0.380585725,1163.932952,1.202870148,2.094436453,3.2973066,-3429.711137,0.038781456,4.618938106,343.4807317,31.33
Hf6.39 Zr15.38 Ti17.73 Nb2.43 V10.6 N45.51 O1.96,0.4551,0.0196,0.1773,0.106,0.1538,0.0243,0.0639,74.275,0.474700184,2236.76936,7.36,0.656311,12.548963,13.5181762,2211.823556,1159.550235,60.98908,1.4447922,1052.273321,48.2515,52.6036,420.4743,21.1737,522.4451,3507.3776,1.255426,1.867165,0.474703846,580.9924084,12.75410849,0.38009702,1159.550235,1.201325557,2.12506705,3.326392607,-3245.240139,0.025454772,4.6246,314.5893018,26.59
Hf5.58 Zr15.49 Ti17.34 Nb2.14 V10.41 N47.41 O1.63,0.4741,0.0163,0.1734,0.1041,0.1549,0.0214,0.0558,75.0354,0.490400179,2186.95701,7.246,0.666277,12.566782,13.05627926,2143.225036,1122.916945,62.861,1.4214814,1020.308091,46.1513,51.0622,401.315,20.6116,500.3939,3352.7051,1.234045,1.857505,0.490403734,451.6688256,12.40908927,0.384538514,1122.916945,1.215363238,2.098374405,3.313737643,-3271.057955,0.030850871,4.6322,336.2669712,25.82
Hf5.13 Zr15.8 Ti17.86 Nb1.89 V10.75 N46.54 O2.02,0.465446545,0.02020202,0.178617862,0.107510751,0.158015802,0.01890189,0.051305131,74.809981,0.485648747,2212.081148,7.450645065,0.662854285,12.55746675,13.1100692,2154.172901,1128.655196,62.37693769,1.415452945,1025.517706,46.35023502,51.69826983,399.7335734,20.86978698,499.1975198,3336.108411,1.238210821,1.859571957,0.485652345,603.9889296,12.4812882,0.382977665,1128.655196,1.210430057,2.123198445,3.333628502,-3140.397529,0.023323392,4.632263226,343.5950531,32.2
Hf5.07 Zr15.49 Ti16.57 Nb2.74 V7.33 N48.27 O4.53,0.4827,0.0453,0.1657,0.0733,0.1549,0.0274,0.0507,76.8315,0.528000169,2032.23647,5.398,0.69053,12.844918,12.13977222,2010.984532,1046.585675,68.39212,1.3445286,964.398857,40.8729,46.4964,372.243,18.9378,472.5641,3113.3898,1.187833,1.836619,0.528003423,1548.295942,12.63624124,0.398654468,1046.585675,1.259977786,2.245352442,3.505330228,-2242.57643,0.00854159,4.674,313.2741503,26.3
Hf7.62 Zr14.42 Ti16.07 Nb2.54 V11.21 N46.52 O1.61,0.465246525,0.01610161,0.160716072,0.112111211,0.144214421,0.02540254,0.076207621,74.62466247,0.481348314,2202.710741,7.726672667,0.661649165,12.5429723,13.46509056,2196.407133,1154.626403,61.72207221,1.483733973,1041.78073,48.94339434,51.89268927,427.9484948,20.83268327,524.6641664,3580.831483,1.248727873,1.863706371,0.481351916,444.9324512,12.72416252,0.382294586,1154.626403,1.208271133,2.10312264,3.311393773,-3372.316305,0.033019965,4.634963496,325.5351957,28.92
